51010601,COSTOS SERVICIOS ADMINISTRATIVOS Y CONTABLES
51010602,COSTOS ASESORIAS EN RRHH
51010603,COSTOS SERVICIOS DE MANTENCION Y SOPORTE
51010604,COSTOS SERVICIOS MONITOREO
51010605,COSTOS VENTAS DE EQUIPOS
51010701,SUELDOS OPERACIONAL
51010702,APORTES EMPLEADOR OPERACIONAL
51010703,HONORARIOS OPERACIONAL
51010704,AGUINALDOS OPERACIONAL
51010705,FINIQUITOS OPERACIONAL
51010706,BIENESTAR OPERACIONAL
51010707,SEGUROS OPERACIONAL
51010708,COLACION Y MOVILIZACION OPERACIONAL
51010709,HORAS EXTRAORDINARIAS OPERACIONAL
51010710,VIATICOS OPERACIONAL
51010711,COMISIONES OPERACIONAL
51010712,BONOS OPERACIONAL
51010901,DEPRECIACION VEHICULOS
51010902,DEPRECIACION CONSTRUCCION Y OBRAS
51010903,DEPRECIACION EQUIPOS COMPUTACIONALES
51010904,DEPRECIACION OTROS ACTIVOS FIJOS
51010905,DEPRECIACION VEHICULOS LEASING
51010906,DEPRECIACION CONSTRUCCION Y OBRAS LEASING
51010907,DEPRECIACION EQUIPOS COMPUTACIONALES LEASING
51010908,DEPRECIACION OTROS ACTIVOS FIJOS LEASING
51010909,DEPRECIACION VEHICULOS TASADOS
51010910,DEPRECIACION CONSTRUCCION Y OBRAS TASADOS
51010911,DEPRECIACION EQUIPOS COMPUTACIONALES TASADOS
51010912,DEPRECIACION OTROS ACTIVOS FIJOS TASADOS
51020101,COSTOS VENTAS VEHICULOS USADOS
51020102,COSTOS VENTAS INMUEBLES
51020103,COSTOS VENTA VEHICULOS LEASING
51020110,COSTOS ACTIVADOS
51060801,REPUESTOS PAÑOL
51060802,PARABRISAS Y VIDRIOS
51060803,NEUMATICOS
51060804,COMBUSTIBLES
51060805,MANTENCIONES EXTERNAS
51060806,INSUMOS
51060807,SERVICIOS SANITARIOS Y FUMIGACIONES
51060808,GASTOS IMPUESTOS ESPECIFICOS
51060809,ALIMENTACION BUSES
51060810,REVISION TECNICA
51060811,PERMISOS DE CIRCULACION
51060812,INSCRIPCION RNVM
51060813,TRANSFERENCIAS VEHICULOS
51060814,DERECHOS LOSAS
51060815,SERVICIOS TRANSPORTES PASAJEROS
51060816,SERVICIOS TRANSPORTES CARGAS
51060817,DERECHOS PLANILLAS
51060818,PEAJES
51060819,PESAJES CAMIONES
51060820,SEGUROS VEHÍCULOS
51060821,SEGUROS PROPIEDADES
51060822,SERVICIOS GENERALES
51060823,LUBRICANTES
51060824,GAS
51060825,COMISIONES TRANSPORTES PASAJEROS
51060826,COMISIONES TRANSPORTES CARGAS
51060827,CERTIFICACION BUSES
51060828,IMPUESTOS VERDE
51060829,TRANSBORDADOR
51060830,SERVICIO MONITOREO FLOTA-GPS
51060831,SERVICIO CARGA BUSES ELECTRICOS
51060832,CARGA DE EXTINTORES
61010101,SUELDOS ADMINISTRACION
61010102,APORTES EMPLEADOR ADMINISTRACION
61010103,HONORARIOS ADMINISTRACION
61010104,AGUINALDOS ADMINISTRACION
61010105,FINIQUITOS ADMINISTRACION
61010106,BIENESTAR ADMINISTRACION
61010107,SEGUROS ADMINISTRACION
61010108,COLACION Y MOVILIZACION ADMINISTRACION
61010109,HORAS EXTRAORDINARIAS ADMINISTRACION
61010110,VIATICOS ADMINISTRACION
61010111,COMISIONES ADMINISTRACION
61010112,BONOS ADMINISTRACION
61010301,ROPA DE TRABAJO
61010302,SEGUROS DE VIDA
61010303,VACACIONES
61010304,CAPACITACION
61010305,EXAMENES CONDUCTORES
61010306,ALIMENTACION PERSONAL
61010307,ALOJAMIENTO DEL PERSONAL
61010308,CERTIFICACION CONDUCTORES
61010309,TRASLADO PERSONAL
61010350,OTROS GASTOS DEL PERSONAL
